Energy (meV),Original DOS (normalized),Broadened DOS (normalized)
72.1,0.0,0.015546236504008933
72.2,0.0,0.015705005573266467
72.3,0.0,0.015863152587039898
72.4,0.0,0.016020577871785395
72.5,0.0,0.016177180328263405
72.6,0.0,0.016332857478990135
72.7,0.0,0.01648750552244433
72.8,0.1696211385468674,0.0166410193938214
72.9,0.0,0.016793292832131445
73.0,0.0,0.01694421845344024
73.1,0.0,0.017093687830055937
73.2,0.0,0.01724159157546431
73.3,0.0,0.01738781943481679
73.4,0.0,0.017532260380774635
73.5,0.0,0.017674802714510864
73.6,0.0,0.017815334171669965
73.7,0.0,0.01795374203308151
73.8,0.0,0.018089913240020326
73.9,0.18858087022715533,0.01822373451380145
74.0,0.0,0.018355092479492078
74.1,0.0,0.018483873793517926
74.2,0.0,0.018609965274934154
74.3,0.0,0.018733254040124787
74.4,0.0,0.018853627640687615
74.5,0.0,0.018970974204253303
74.6,0.0,0.019085182577981176
74.7,0.0,0.019196142474465133
74.8,0.0,0.019303744619776374
74.9,0.0,0.019407880903361607
75.0,0.0,0.01950844452950748
75.1,0.19299832485107937,0.019605330170075385
75.2,0.0,0.019698434118202754
75.3,0.0,0.01978765444266086
75.4,0.0,0.019872891142552553
75.5,0.0,0.019954046302027066
75.6,0.0,0.02003102424468442
75.7,0.0,0.020103731687336323
75.8,0.0,0.02017207789278681
75.9,0.0,0.02023597482129254
76.0,0.0,0.020295337280359402
76.1,0.0,0.02035008307253085
76.2,0.0,0.020400133140821907
76.3,0.19297694103437257,0.020445411711452838
76.4,0.0,0.020485846433537142
76.5,0.0,0.020521368515380223
76.6,0.0,0.02055191285704786
76.7,0.0,0.02057741817886705
76.8,0.0,0.020597827145526663
76.9,0.0,0.02061308648545091
77.0,0.0,0.020623147105125333
77.1,0.0,0.020627964198062638
77.2,0.0,0.020627497348104724
77.3,0.0,0.020621710626766588
